"Ensembl_ID","control_rep2","exp_rep3","exp_rep2","exp_rep1","control_rep1","control_rep3"
"ENSG00000048707.15",3140,3034,4212,4197,3759,4346
"ENSG00000239149.1",0,1,3,1,3,2
"ENSG00000162496.9",2519,3273,3029,3234,2716,3489
"ENSG00000288927.2",43,45,33,52,53,44
"ENSG00000272482.2",9,5,4,7,10,14
"ENSG00000157330.10",33,31,27,32,43,56
"ENSG00000116726.5",8,6,11,5,5,6
"ENSG00000179172.10",10,21,13,10,8,15
"ENSG00000179412.11",8,8,7,6,4,4
"ENSG00000204481.8",0,0,3,1,3,2
"ENSG00000162494.6",88,96,69,74,126,133
"ENSG00000162493.17",1192,1424,757,615,1390,1633
"ENSG00000116731.23",3601,3971,4852,4685,4244,4963
"ENSG00000189337.17",738,1009,937,840,922,1205
"ENSG00000175147.13",48,48,91,63,68,86
"ENSG00000171729.14",1056,1363,1609,1486,1301,1568
"ENSG00000278480.1",2,2,4,1,4,1
"ENSG00000142621.21",234,274,260,239,255,287
"ENSG00000236045.1",3,7,7,4,6,7
"ENSG00000228140.2",4,9,13,4,11,10
"ENSG00000142634.13",1524,2004,1598,1571,1600,2139
"ENSG00000215704.10",4,15,7,11,3,5
"ENSG00000132906.18",983,1222,1216,1123,1110,1407
"ENSG00000116138.13",2186,2637,3260,3133,2873,3322
"ENSG00000116771.6",710,813,751,830,756,1010
"ENSG00000237301.1",2,5,8,5,6,9
"ENSG00000235084.3",11,20,11,10,11,9
"ENSG00000197312.13",4638,4694,6689,6243,5857,6623
"ENSG00000116786.13",4721,5797,5097,4835,5118,6563
"ENSG00000237938.5",2,1,3,11,6,9
"ENSG00000162461.8",5,18,20,10,18,24
"ENSG00000162460.7",51,83,74,63,60,85
"ENSG00000162458.13",8750,11611,11879,11407,9885,12388
"ENSG00000224321.1",22,41,33,24,16,39
"ENSG00000233954.7",798,1226,1168,980,914,1065
"ENSG00000178715.8",49,83,75,49,49,58
"ENSG00000179743.4",199,198,191,195,217,223
"ENSG00000065526.13",7941,7958,9807,9815,9181,10549
"ENSG00000116809.12",1789,2325,2042,1977,1915,2649
"ENSG00000183888.4",0,1,2,2,1,2
"ENSG00000173641.18",15,61,99,67,54,37
"ENSG00000186510.12",19,20,10,15,7,21
"ENSG00000232456.1",7,10,5,4,9,13
"ENSG00000184908.20",52,60,52,41,49,81
"ENSG00000185519.9",66,129,62,55,98,99
"ENSG00000142627.13",9582,15796,16673,15750,10758,13499
"ENSG00000227959.2",18,23,27,16,19,14
"ENSG00000224621.1",12,5,12,24,7,16
"ENSG00000142632.17",1882,2110,1730,1579,1983,2514
"ENSG00000291077.1",9,8,6,7,10,12
"ENSG00000237276.10",4,4,5,2,2,5
"ENSG00000288398.1",403,507,438,438,431,544
"ENSG00000132881.12",297,367,323,316,366,415
"ENSG00000037637.11",2446,2890,3363,3044,3014,3493
"ENSG00000055070.17",10150,13673,13029,13027,11637,14335
"ENSG00000226457.1",2,3,7,4,5,9
"ENSG00000157191.20",3989,5260,5326,5347,4385,5459
"ENSG00000226029.1",14,38,29,36,36,27
"ENSG00000290842.1",41,47,46,70,59,61
"ENSG00000080947.16",2,2,5,3,7,2
"ENSG00000233421.5",40,41,52,44,46,60
"ENSG00000219481.11",1113,1209,1465,1362,1335,1555
"ENSG00000271732.1",2,2,3,1,1,1
"ENSG00000291072.1",312,330,443,357,372,446
"ENSG00000215908.12",61,66,108,75,92,106
"ENSG00000186301.8",37,30,41,27,36,49
"ENSG00000236698.1",57,78,53,66,74,76
"ENSG00000268869.8",2,3,3,4,1,0
"ENSG00000058453.17",715,823,662,579,727,1061
"ENSG00000290851.1",18,17,36,36,26,34
"ENSG00000228549.5",124,192,152,146,189,224
"ENSG00000238142.4",37,49,38,27,49,35
"ENSG00000272426.1",1,1,4,3,1,4
"ENSG00000117122.14",4818,6399,4753,4615,5060,6750
"ENSG00000159363.19",5442,7342,5540,5745,5763,7709
"ENSG00000117118.11",2853,3639,3809,3548,3415,4132
"ENSG00000117115.13",15,26,28,19,21,36
"ENSG00000142623.11",3,2,2,4,4,3
"ENSG00000142619.4",10,5,4,2,11,4
"ENSG00000179051.14",18761,22694,26186,24209,22853,27035
"ENSG00000290096.1",4,5,7,6,4,6
"ENSG00000074964.17",1561,2038,2407,2131,1824,2272
"ENSG00000117148.8",43,42,42,39,26,40
"ENSG00000117154.12",61,61,44,38,71,107
"ENSG00000179023.9",98,141,180,152,103,134
"ENSG00000159423.17",3000,3885,2577,2876,3041,4168
"ENSG00000169991.11",2932,2884,3100,3364,3583,4213
"ENSG00000272084.1",19,27,13,22,14,27
"ENSG00000127481.15",11030,11397,15122,14666,12878,15012
"ENSG00000230424.3",27,38,30,30,32,25
"ENSG00000127463.16",10242,12369,13551,13615,11738,14087
"ENSG00000053372.5",5175,6321,5761,5817,5587,7039
"ENSG00000286064.1",41,62,64,65,64,63
"ENSG00000211454.16",20,18,15,14,22,14
"ENSG00000162482.5",20,34,20,17,27,35
"ENSG00000270728.1",113,123,154,117,140,128
"ENSG00000053371.13",3217,4233,3212,3181,3288,4339
"ENSG00000200403.1",0,1,3,5,4,3
"ENSG00000040487.13",1656,2450,2027,1906,1794,2507
"ENSG00000077549.19",19232,25053,22917,23696,22107,27307
"ENSG00000173436.15",1327,1603,1538,1538,1509,1801
"ENSG00000158747.15",1253,1805,1215,1237,1482,1828
"ENSG00000226396.1",44,100,57,55,65,78
"ENSG00000158748.4",28,20,19,23,28,20
"ENSG00000162542.14",655,778,904,812,700,932
"ENSG00000178828.7",2,14,10,7,8,7
"ENSG00000169914.6",1329,1277,2226,1862,1887,1955
"ENSG00000188257.12",7,17,21,20,15,17
"ENSG00000187980.7",10,4,9,4,7,10
"ENSG00000162543.6",705,738,710,687,797,961
"ENSG00000158816.16",19,22,19,19,23,28
"ENSG00000162545.6",3187,3842,3352,3341,4063,4529
"ENSG00000289402.2",17,26,12,15,21,25
"ENSG00000090432.7",2535,3249,2898,2970,2732,3546
"ENSG00000183114.8",21,43,7,6,28,34
"ENSG00000158825.6",8,4,8,6,5,3
"ENSG00000158828.8",690,861,886,758,740,967
"ENSG00000117242.7",652,801,822,827,666,860
"ENSG00000244038.11",29770,40498,43068,40636,33900,41094
"ENSG00000117245.13",116,88,43,57,95,134
"ENSG00000189410.12",78,85,67,59,71,98
"ENSG00000127483.19",8243,9267,11091,10461,9968,11468
"ENSG00000075151.24",9755,10615,13837,12773,12144,14004
"ENSG00000117298.16",9444,11381,10502,10511,10285,12847
"ENSG00000231105.2",5,6,10,4,1,3
"ENSG00000227001.3",52,50,64,45,45,50
"ENSG00000187952.9",36,32,25,22,22,26
